review_id;user_id;restaurant_id;review_text;rating;timestamp
53;3;6;Wah!!! Salmon sashimi fresh!!! Inari enak! Jng ketinggalan beef enoki dan beef cheese!!!! And supper thank you untuk pelayanan mas dery! Benar penuh senyum, sigap!!! Thanks!! And will be back!!! ❤️❤️❤️❤️❤️;3;18/09/24 17.23
54;4;6;Syng sekali resto menengah keatas tapi baby chairnya hanya ada 1 yg layak pakai, sedangkan saya butuhnya 2 pada saat itu, yg 1 nya lagi dikasi baby chair dgn kondisi yg sgt2 gak pantas untuk level resto seperti ini, which is senopati area. …;3;16/06/25 18.52
55;5;6;udah lama banget ga kesini, pas kesini lagi tempatnya udah beda (agak kecil) dan salmom sashimi nya pun berbedaaaaa (lebih tipis) hihihi gapapa karena AYCE jadi bisa sepuasnyaaaa;4;14/05/25 13.21
56;6;6;Dateng kesini cuma ada 2 tamu, pas dateng di samperin sama waiters aman aja dia ngelayaninnya, pas dilayanin sama waitress-nya ternyata dia ketus bgt, minta tolong piring yang kosong diangkat malah jawab “sisa makanan harus dihabiskan ya” …;5;29/03/25 17.19
57;7;6;Pertama coba, FRESH sashiminya sampe repeat 2x. Menu lainnya oke..soy sauce nya gua doyan..enak ga asin dan ga manis jg balanced..;5;02/06/25 14.13
58;8;6;Gapernah bosen makan AYCE sushi disini, salmon sashimi nya the best. Perfect, sampe kalap makan 135 slice🍣 …;3;31/01/25 04.04
59;9;6;Sorry its a no for me. Dari awal masuk saja sudah agak kurang srek soalnya agak bau toilet pas masuk. Servicenya bener2 mengecewakan. Tolong karyawannya diajarin yg bener. Masa yang satu bilang rollnya per 1 pcs yang satu lagi bilang per …;3;15/09/24 12.55
60;10;6;Tempat makan yang menyajikan all you can eat yang spesial dengan menu sashimi nya. Ada pilihan sashimi salmon dan tuna. Ada juga pilihan menu beragam lainnya, mulai dari appetizer, main course, dan desert. Tempat nyaman dan cukup luas. …;4;23/10/24 19.45
61;1;7;Ketika masuk udh di sambut muka ga enak. Mungkin karena liat pake kaos dan celana pendek kali ya? Entah lah. Namun ini sushi hiro paling tidak baik pelayanannya menurut saya. …;4;18/12/24 00.24
62;2;7;“Buka puasa di Sushi Hiro Hang Lekir—nggak terlalu ramai, tapi AC-nya dingin banget! Sayangnya, di sini nggak ada mushola, jadi mungkin perlu siap-siap kalau mau sholat. …;4;13/01/25 09.36
63;3;7;super luv makan disini!🩷🩷 staff nya ramah, membantu, dan gercep pelayanannya. bestttt🩷 …;5;28/03/25 13.55
64;4;7;Terimakasih untuk pelayanan nya yg sangat baik... makanannya enak banget sesuai ekspetasi.. tempatnya nyaman banget and cozy bgt cocok bgt buat yg lagi pengen suasana tenang... thankyou sushi hiro Hang Tuah Jakarta.. bakal sering-sering makan disini.. next bawa anak-anak makan kesini pasti seneng banget..;5;09/05/25 02.32
65;5;7;Enak bgttttttttt. Sampe Meja saya doang yg kagak ada TEMPAT COCOLAN SAOS & WASABI, neh fotonya sebagai perbandingan. Wasabi kalo kagak diminta gak dikasih;4;31/07/24 07.42
66;6;7;nice lunch with my kiddos, dg pelayanan yg super friendly dan ramah dari mas dewo, fast response dan menyenangkan bikin pengen balik ke sushi hiro hang tuah lagi. oiya nabe nya always josss lhoo. pertahankan yaa..;5;27/03/25 20.46
67;7;7;makanannya enak dan fresh semua, lokasinya deket dari mana mana, ambiencenya juga tenang banget + servicenya juara sih (terutama mba mba yg lagi trainee, super helpful), def bakal balik terus;4;13/11/24 20.27
68;8;7;Nyoba menu baru “Truffle Hiro Niku Don” enak banget dan buat dessert coba “Black Matcha Cup” juga enaaak banget. …;4;06/09/24 09.57
69;9;7;Tempatnya cukup besar Nice hospitality Ragam pilihan Japs Food Tidak perlu masuk Mall;3;13/01/25 12.06
70;10;7;Pelayanannya sangat baik, makanannya keluar cepet dan rasanya selalu enak. Sushi hiro terbaik;4;28/05/25 00.26
71;1;9;Wagyu hambagus. Isinya hamburger. Tentu saja lembut. Chicken nanban ga ada spesialnya. Miso soup asin sekali. Dan dapet gratisan kulit ayam goreng untuk review. Sayang rasanya ga enak;5;08/03/25 05.36
72;2;9;enak, bersih, tempat makan nyaman, service juga!! 💯 pesen katsu don yang teishoku, uda lengkap dapet semua chawan musi, miso soup, …;5;16/12/24 07.19
