review_id;user_id;restaurant_id;review_text;rating;timestamp
64;4;11;pertama kali kesini tahun 2019, dan tempatnya ga terlalu banyak berubah masih bagooos 🤏🏻 …;4;21/11/24 21.20
65;5;11;Tempatnya bagus pelayanan istimewa..hrg makanan masih terjangkau .cari sensasi kemewahan;3;23/05/25 00.00
66;6;11;Salmonnya enak, calamarynya juga crunchy, pelayanan ramah tp masaknya lama, ruangannya bagus interiornya tp ruangan smokingnya dicampur sm non smoking jd mengganggu, lokasi strategis ada parkiran, harga cukup mahal tp sesuai sm makanannya yg sangat lezat;5;10/09/24 17.43
67;7;11;makanannya enak tapi ga seenak itu untuk harga segitu gmn yh;3;20/12/24 19.21
68;8;11;Sofia at The Gunawarman memberi pengalaman makan mewah dengan interior neo‑klasik yang memikat;5;26/06/25 19.16
69;9;11;Pelayanannya best banget, duduk untuk menikmati tea n coffee sama temen temen pas lagi ujan ujan..nyaman banget di lounge nya.., pelayanannya selalu full senyum, ramah dan helpfull banget , snack nya enak.. …;4;18/02/25 04.58
70;10;11;Kesini saat ada event Pelayanan sangat baik. Ini salah satu resto dengan pelayanan terbaik. Teramah. Bagus banget. …;4;15/09/24 21.12
71;1;13;Makanan dan minuman nya enak semua. Sesuai banget ama yg di daftar menu. Pelayanan juga ramah dan suasana cafe nya juga sesuai tema dan adem banget buat nongkrong bareng besty. Kalo next kesini lagi, ga bakal rugi.;4;19/04/25 17.55
72;2;13;Sangat nyaman sebagai lokasi untuk makan dan berkumpul bersama teman atau keluarga. Memiliki area makan yang cukup luas dengan berbagai menu beragam dan disajikan. …;3;30/09/24 06.26
73;3;13;Hari ini kita booking acara bukber buat 50 org, pelayanan dan servicenya best bgt! Menu sudah kita pilih seminggu sebelumnya, dan mendekati waktu magrib semua makanan minuman keluar tepat waktu dan dikasi nama buat yg mesen biar gak …;4;27/04/25 01.15
74;4;13;Kesini buat buka puasa, sudah pesan menu dari beberapa jam yang lalu tetapi pas buka puasa masih ada makanan yang belum keluar. Mungkin perlu managemen waktu yang lebih baik lagi. Untuk makanan sudah enak dan taste cocok untuk foreigner.;4;06/09/24 13.28
75;5;13;Arrghh baru tau ada cafe senyaman, se-cute, seenak ini F&B nyaa. Lagi ada tema Conan. Makin sukaaa! mengingatkan memori masa kecil. Toiletnya juga unik. Banyak spot untuk foto2. Buat yg fans Conan, kalian wajib ke sini. Buruan sebelum periode thematic cafe berakhir;4;20/03/25 13.47
76;6;13;Menu makanan yang ditawarkan beragam dan lezat, dengan bahan-bahan segar berkualitas. Pelayanan ramah dan responsif membuat pengunjung merasa nyaman. Suasana tempat yang tenang cocok untuk bersantai bersama keluarga atau teman. Sangat direkomendasikan bagi yang mencari tempat makan;3;04/05/25 07.27
77;7;13;Japanese Hanburg steak yang kolaborasi sama conan enak banget. Asin, gurih dan nya pas Minumannya juga enak, not too sweet Untuk yang mystery soda collab sama conan;5;13/04/25 12.52
78;8;13;Tempatnya bersih dan banyak daun hijau2 jadi nyaman dan homey. Untuk porsinya pas, ga kurang dan ga berlebihan. Aku pesen Japanese Hamburg, dagingnya juicy dan sayurannya pun enak. Untuk minumannya juga enak. Untuk misonya light ga terlalu pekat rasanya.;3;25/10/24 23.30
79;9;13;Lokasi strategis di pinggir jalan. Tempatnya cozy, ada indoor dan outdoor. Makanannya enak tapi cenderung fusion Asian-Western. Minumannya juga variatif. Coffee Latte nya enak. Insya Allah halal karena gak jual pork dan alkohol. Aksesnya pake tangga dan tidak terlihat ada lift, jadi maaf sepertinya kurang ramah untuk disabilitas.;3;19/02/25 19.47
80;10;13;First time kesini karena ada event conan, ternyata makanannya pun enakkk!!! Pelayanannya juga ramah bintang 7🤩🤩 …;4;30/12/24 13.10
81;1;15;makan siang bersama di loewy cukup ramai pengunjung, tempatnya cukup nyaman dan bersih …;5;29/09/24 08.02
82;2;15;Dtg pas jam 5 mo transit sebentar sm temen2 ..pesen pizza n minum aja... Tempat cozy... Pelayannya kbtulan dpt mas yg ramah, krn biasanya yg cewe jutek..mrka lbh seneng ngelayanin bule 🤣 temen minum bir kita milkshake krn emang bkn peminum,... Ya oke lah utk nongki cantik, makan cantik wajib k sini …;3;25/09/24 10.41
83;3;15;Makanan nya enak , tempatnya sangat bersihh , pelayanan sangat baik ramah ramah , pokonya best sih ini buat nongkrong;4;13/01/25 07.02
84;4;15;Saya booking jam 8, sampai 7.25 Inti nya staff blg nunggu jam 8 karena booking jam 8. Saya lihat ada kursi …;5;25/11/24 19.31
85;5;15;Kafe perancis dengan berbagai macam makanan (steak/dessert) dan variasi minumam alkohol/non alkohol, kopi, teh& aneka jus buah. Creme brulle juara dan cheese cakenya enak lengkap dengan sorbet ice cream. Tempat enak sayang saja semua tempat diperbolehkan merokok;3;27/03/25 20.46
86;6;15;Cozy dan tenang, meeting point pas di area mega kuningan Vibes relax dan calm down;5;29/09/24 01.22
87;7;15;Rasa makanan hampir tidak ada yang mengecewakan dengan harga yang relatif sesuai dengan tempat dan rasa makanannya Escargot dengan garlic butter disajikan dengan roti cukup enak dan porsi yg pas …;4;23/11/24 03.06
88;8;15;One of the OG brunch place here in Jakarta. Kesini pas weekend jam 10 pagi.. sepi deh, very nice ambience dan staff2-nya juga friendly attentive gitu 👌 …;4;26/07/24 02.28
89;9;15;I ordered nasi goreng buntut, the meat is so keras and the portion is small. The service is unacceptable, we waited for a long time before our main dish has been served to us. Nggak banyak orang nya kerna holiday hari ini tapi makanan nya lama banget.;3;14/01/25 19.41
90;10;15;Cozy,Rekomendasi buat Birthday party;5;12/01/25 03.03
